FECHA_CORTE,COD_ESTADO_DEPTO,ESTADO_DEPTO,ETNIA,SEXO,CICLO_VITAL,DISCAPACIDAD,PER_OCU,PER_DECLA,PER_UBIC,PER_SA,EVENTOS
2019-01-31,73,Tolima,Negro(a) o Afrocolombiano(a),Mujer,entre 12 y 17,NO,310,216,144,140,363
2019-01-31,44,La Guajira,Gitano(a) ROM,Mujer,ND,NO,3,1,1,1,3
2019-01-31,44,La Guajira,Negro(a) o Afrocolombiano(a),Hombre,entre 6 y 11,NO,375,427,368,335,430
2019-01-31,23,Cordoba,Indigena,Hombre,entre 12 y 17,NO,493,434,287,282,576
2019-01-31,27,Choco,Negro(a) o Afrocolombiano(a),LGBTI,entre 18 y 28,SI,1,1,1,1,3
2019-01-31,19,Cauca,Negro(a) o Afrocolombiano(a),Hombre,entre 61 y 100,SI,307,212,181,168,467
2019-01-31,17,Caldas,Gitano(a) ROM,Mujer,entre 18 y 28,SI,,,1,1,
2019-01-31,25,Cundinamarca,Ninguna,Hombre,entre 12 y 17,SI,126,191,127,116,150
2019-01-31,97,Vaupes,Indigena,Hombre,entre 18 y 28,NO,431,315,137,129,554
2019-01-31,63,Quindio,Negro(a) o Afrocolombiano(a),Mujer,entre 12 y 17,NO,37,146,80,78,43
2019-01-31,18,Caqueta,Ninguna,LGBTI,entre 18 y 28,NO,44,28,21,20,86
2019-01-31,5,Antioquia,Negro(a) o Afrocolombiano(a),Mujer,entre 6 y 11,NO,3461,4002,3716,3388,3993
2019-01-31,5,Antioquia,Indigena,Hombre,entre 12 y 17,SI,24,23,13,13,33
2019-01-31,50,Meta,Gitano(a) ROM,Hombre,ND,NO,10,2,2,1,10
2019-01-31,85,Casanare,Ninguna,Mujer,entre 6 y 11,NO,2972,3362,3439,3012,3254
2019-01-31,11,Bogota D.C.,Palenquero,Hombre,entre 18 y 28,NO,,4,2,1,
2019-01-31,13,Bolivar,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,SI,268,292,236,214,345
2019-01-31,11,Bogota D.C.,Indigena,Hombre,entre 29 y 60,NO,63,2638,1147,1092,69
2019-01-31,85,Casanare,Palenquero,Mujer,entre 29 y 60,NO,2,2,2,2,3
2019-01-31,97,Vaupes,Indigena,Hombre,entre 61 y 100,NO,127,91,44,36,167
2019-01-31,5,Antioquia,Palenquero,Hombre,entre 29 y 60,NO,22,18,14,13,30
2019-01-31,63,Quindio,Indigena,Mujer,entre 6 y 11,SI,,3,2,2,
2019-01-31,11,Bogota D.C.,Palenquero,Mujer,entre 29 y 60,NO,,11,8,8,
2019-01-31,41,Huila,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 61 y 100,SI,3,4,2,2,4
2019-01-31,41,Huila,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 29 y 60,SI,,1,,,
2019-01-31,20,Cesar,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 29 y 60,SI,3,2,2,2,4
2019-01-31,66,Risaralda,Negro(a) o Afrocolombiano(a),LGBTI,entre 18 y 28,NO,2,4,4,3,4
2019-01-31,44,La Guajira,Palenquero,Mujer,entre 29 y 60,NO,3,2,1,1,4
2019-01-31,47,Magdalena,Ninguna,Hombre,entre 18 y 28,SI,770,662,458,401,935
2019-01-31,99,Vichada,Indigena,Mujer,entre 12 y 17,SI,3,1,1,1,4
2019-01-31,76,Valle del Cauca,Negro(a) o Afrocolombiano(a),LGBTI,entre 29 y 60,NO,35,31,27,26,69
2019-01-31,27,Choco,Negro(a) o Afrocolombiano(a),LGBTI,entre 61 y 100,SI,2,1,1,1,4
2019-01-31,95,Guaviare,Palenquero,Mujer,entre 29 y 60,NO,2,2,1,1,3
2019-01-31,11,Bogota D.C.,Ninguna,Hombre,entre 61 y 100,SI,175,3651,1198,1049,237
2019-01-31,19,Cauca,Indigena,Mujer,entre 61 y 100,SI,224,196,107,97,363
2019-01-31,11,Bogota D.C.,Negro(a) o Afrocolombiano(a),LGBTI,entre 29 y 60,NO,2,35,21,20,2
2019-01-31,52,Nariño,Indigena,Hombre,entre 6 y 11,SI,16,15,10,10,19
2019-01-31,86,Putumayo,Ninguna,LGBTI,entre 12 y 17,SI,1,1,1,1,5
2019-01-31,70,Sucre,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 6 y 11,NO,4,6,4,2,4
2019-01-31,23,Cordoba,Ninguna,Mujer,entre 29 y 60,NO,65634,61901,54947,50595,76479
