FECHA_CORTE,ESTADO_DEPTO,ETNIA,SEXO,CICLO_VITAL,DISCAPACIDAD,EVENTOS
2019-01-31,Tolima,Negro(a) o Afrocolombiano(a),Mujer,entre 12 y 17,NO,363
2019-01-31,La Guajira,Gitano(a) ROM,Mujer,ND,NO,3
2019-01-31,La Guajira,Negro(a) o Afrocolombiano(a),Hombre,entre 6 y 11,NO,430
2019-01-31,Cordoba,Indigena,Hombre,entre 12 y 17,NO,576
2019-01-31,Choco,Negro(a) o Afrocolombiano(a),LGBTI,entre 18 y 28,SI,3
2019-01-31,Cauca,Negro(a) o Afrocolombiano(a),Hombre,entre 61 y 100,SI,467
2019-01-31,Cundinamarca,Ninguna,Hombre,entre 12 y 17,SI,150
2019-01-31,Vaupes,Indigena,Hombre,entre 18 y 28,NO,554
2019-01-31,Quindio,Negro(a) o Afrocolombiano(a),Mujer,entre 12 y 17,NO,43
2019-01-31,Caqueta,Ninguna,LGBTI,entre 18 y 28,NO,86
2019-01-31,Antioquia,Negro(a) o Afrocolombiano(a),Mujer,entre 6 y 11,NO,3993
2019-01-31,Antioquia,Indigena,Hombre,entre 12 y 17,SI,33
2019-01-31,Meta,Gitano(a) ROM,Hombre,ND,NO,10
2019-01-31,Casanare,Ninguna,Mujer,entre 6 y 11,NO,3254
2019-01-31,Bolivar,Negro(a) o Afrocolombiano(a),Mujer,entre 61 y 100,SI,345
2019-01-31,Bogota D.C.,Indigena,Hombre,entre 29 y 60,NO,69
2019-01-31,Casanare,Palenquero,Mujer,entre 29 y 60,NO,3
2019-01-31,Vaupes,Indigena,Hombre,entre 61 y 100,NO,167
2019-01-31,Antioquia,Palenquero,Hombre,entre 29 y 60,NO,30
2019-01-31,Huila,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 61 y 100,SI,4
2019-01-31,Cesar,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 29 y 60,SI,4
2019-01-31,Risaralda,Negro(a) o Afrocolombiano(a),LGBTI,entre 18 y 28,NO,4
2019-01-31,La Guajira,Palenquero,Mujer,entre 29 y 60,NO,4
2019-01-31,Magdalena,Ninguna,Hombre,entre 18 y 28,SI,935
2019-01-31,Vichada,Indigena,Mujer,entre 12 y 17,SI,4
2019-01-31,Valle del Cauca,Negro(a) o Afrocolombiano(a),LGBTI,entre 29 y 60,NO,69
2019-01-31,Choco,Negro(a) o Afrocolombiano(a),LGBTI,entre 61 y 100,SI,4
2019-01-31,Guaviare,Palenquero,Mujer,entre 29 y 60,NO,3
2019-01-31,Bogota D.C.,Ninguna,Hombre,entre 61 y 100,SI,237
2019-01-31,Cauca,Indigena,Mujer,entre 61 y 100,SI,363
2019-01-31,Bogota D.C.,Negro(a) o Afrocolombiano(a),LGBTI,entre 29 y 60,NO,2
2019-01-31,Nariño,Indigena,Hombre,entre 6 y 11,SI,19
2019-01-31,Putumayo,Ninguna,LGBTI,entre 12 y 17,SI,5
2019-01-31,Sucre,Raizal del Archipielago de San Andres y Providencia,Hombre,entre 6 y 11,NO,4
2019-01-31,Cordoba,Ninguna,Mujer,entre 29 y 60,NO,76479
2019-01-31,La Guajira,Ninguna,LGBTI,entre 29 y 60,NO,35
2019-01-31,Putumayo,Negro(a) o Afrocolombiano(a),Hombre,entre 0 y 5,NO,26
2019-01-31,Huila,Raizal del Archipielago de San Andres y Providencia,Mujer,entre 61 y 100,NO,9
2019-01-31,Putumayo,Indigena,Hombre,entre 29 y 60,NO,2976
2019-01-31,Arauca,Gitano(a) ROM,Hombre,entre 6 y 11,NO,6
2019-01-31,Norte De Santander,Negro(a) o Afrocolombiano(a),Hombre,entre 61 y 100,NO,158
2019-01-31,Cauca,Ninguna,LGBTI,entre 61 y 100,SI,3
2019-01-31,Caqueta,Indigena,Hombre,entre 18 y 28,NO,813
2019-01-31,Quindio,Ninguna,LGBTI,entre 18 y 28,SI,2
2019-01-31,La Guajira,Gitano(a) ROM,Mujer,entre 12 y 17,NO,13
